date,year,county,sm_mean_m3m3,valid_days,n_pixels
2015-01-01,2015,Albemarle,0.2755232121212121,129.57575757575756,33
2015-01-01,2015,Augusta,0.23013646666666665,145.06666666666666,15
2015-01-01,2015,Buckingham,0.2945643,130.7,20
2015-01-01,2015,Charlottesville,0.280539,129.5,2
2015-01-01,2015,Fluvanna,0.3251527142857143,130.0,7
2015-01-01,2015,Greene,0.2621561666666667,130.0,6
2015-01-01,2015,Louisa,0.31033455555555556,128.88888888888889,9
2015-01-01,2015,Nelson,0.30254115000000004,144.2,20
2015-01-01,2015,Rockingham,0.2495255,133.4,10
2016-01-01,2016,Albemarle,0.2766840606060606,174.72727272727272,33
2016-01-01,2016,Augusta,0.23150786666666665,191.26666666666668,15
2016-01-01,2016,Buckingham,0.29913975000000004,177.25,20
2016-01-01,2016,Charlottesville,0.2783995,175.0,2
2016-01-01,2016,Fluvanna,0.33298228571428573,176.0,7
2016-01-01,2016,Greene,0.26301883333333337,174.16666666666666,6
2016-01-01,2016,Louisa,0.330635,174.44444444444446,9
2016-01-01,2016,Nelson,0.300799,193.75,20
2016-01-01,2016,Rockingham,0.2513837,176.4,10
2017-01-01,2017,Albemarle,0.2619786060606061,178.8181818181818,33
2017-01-01,2017,Augusta,0.21719893333333334,202.13333333333333,15
2017-01-01,2017,Buckingham,0.283614,180.25,20
2017-01-01,2017,Charlottesville,0.2656475,179.0,2
2017-01-01,2017,Fluvanna,0.308275,179.0,7
2017-01-01,2017,Greene,0.2504655,177.0,6
2017-01-01,2017,Louisa,0.30225955555555556,178.55555555555554,9
2017-01-01,2017,Nelson,0.28893015,202.15,20
2017-01-01,2017,Rockingham,0.2329968,181.3,10
2018-01-01,2018,Albemarle,0.3094954545454546,170.75757575757575,33
2018-01-01,2018,Augusta,0.26327293333333335,197.8,15
2018-01-01,2018,Buckingham,0.3199999,172.95,20
2018-01-01,2018,Charlottesville,0.3100495,170.5,2
2018-01-01,2018,Fluvanna,0.3554174285714286,172.71428571428572,7
2018-01-01,2018,Greene,0.3033978333333333,172.0,6
2018-01-01,2018,Louisa,0.3416808888888889,170.55555555555554,9
2018-01-01,2018,Nelson,0.33132055,196.5,20
2018-01-01,2018,Rockingham,0.2861241,176.1,10
2019-01-01,2019,Albemarle,0.38197515151515155,10.93939393939394,33
2019-01-01,2019,Augusta,0.3402794,10.0,15
2019-01-01,2019,Buckingham,0.3756207,14.1,20
2019-01-01,2019,Charlottesville,0.38822199999999996,11.0,2
2019-01-01,2019,Fluvanna,0.41192628571428574,13.714285714285714,7
2019-01-01,2019,Greene,0.3916246666666667,9.666666666666666,6
2019-01-01,2019,Louisa,0.3983063333333334,13.444444444444445,9
2019-01-01,2019,Nelson,0.39301210000000003,12.95,20
2019-01-01,2019,Rockingham,0.3627116,8.3,10
2020-01-01,2020,Albemarle,0.30217842424242425,182.54545454545453,33
2020-01-01,2020,Augusta,0.24971526666666666,207.2,15
2020-01-01,2020,Buckingham,0.32240755,185.7,20
2020-01-01,2020,Charlottesville,0.30349000000000004,182.5,2
2020-01-01,2020,Fluvanna,0.35163657142857146,183.0,7
2020-01-01,2020,Greene,0.2908525,182.0,6
2020-01-01,2020,Louisa,0.3380627777777778,182.0,9
2020-01-01,2020,Nelson,0.3305437,208.05,20
2020-01-01,2020,Rockingham,0.26423779999999997,187.5,10
2021-01-01,2021,Albemarle,0.2801473939393939,177.42424242424244,33
2021-01-01,2021,Augusta,0.23087213333333334,212.33333333333334,15
2021-01-01,2021,Buckingham,0.29910365,183.75,20
2021-01-01,2021,Charlottesville,0.280857,177.0,2
2021-01-01,2021,Fluvanna,0.3305754285714286,178.0,7
2021-01-01,2021,Greene,0.2704448333333333,177.0,6
2021-01-01,2021,Louisa,0.31723877777777776,178.11111111111111,9
2021-01-01,2021,Nelson,0.30748834999999997,210.95,20
2021-01-01,2021,Rockingham,0.248611,185.7,10
2022-01-01,2022,Albemarle,0.28532342424242424,142.72727272727272,33
2022-01-01,2022,Augusta,0.2355553333333333,168.4,15
2022-01-01,2022,Buckingham,0.29885639999999997,148.35,20
2022-01-01,2022,Charlottesville,0.2877,142.5,2
2022-01-01,2022,Fluvanna,0.3370518571428572,146.28571428571428,7
2022-01-01,2022,Greene,0.27460766666666664,142.83333333333334,6
2022-01-01,2022,Louisa,0.3179617777777778,149.55555555555554,9
2022-01-01,2022,Nelson,0.3099455,167.55,20
2022-01-01,2022,Rockingham,0.25417649999999997,147.0,10
2023-01-01,2023,Albemarle,0.26092330303030303,182.63636363636363,33
2023-01-01,2023,Augusta,0.21347106666666665,215.13333333333333,15
2023-01-01,2023,Buckingham,0.29593864999999997,184.35,20
2023-01-01,2023,Charlottesville,0.2646015,182.5,2
2023-01-01,2023,Fluvanna,0.3196704285714286,183.0,7
2023-01-01,2023,Greene,0.24196883333333333,183.0,6
2023-01-01,2023,Louisa,0.30460811111111114,182.55555555555554,9
2023-01-01,2023,Nelson,0.29240515,210.35,20
2023-01-01,2023,Rockingham,0.2254925,190.0,10
